N  FE
13.139456473779745  11.135481959998542
13.382764723349373  11.182575224989163
13.628432343656696  11.227532575803673
13.876460223036998  11.270330291136016
14.126849222816466  11.310944868714385
14.379600178212518  11.349353021855626
14.634713899203412  11.385531676086632
14.892191171368015  11.419457965828315
15.152032756696967  11.45110923114268
15.414239394376184  11.48046301454148
15.678811801543691  11.50749705785501
15.94575067402074  11.532189299160363
16.215056687018148  11.55451786976721
16.48673049581868  11.574461091261004
16.760772736436316  11.591997472601637
17.037184026253378  11.60710570727716
17.315964964636002  11.619764670510598
17.597116133528974  11.62995341651985
17.880638098030595  11.637651175828644
18.166531406948177  11.642837352628554
18.45479659333494  11.645491522190179
18.74543417500897  11.645593428322522
19.03844465505474  11.64312298088076
19.333828522307964  11.638060253319452
19.631586251824334  11.630385480292661
19.931718305332453  11.620079055297746
20.23422513167203  11.607121528363255
20.53910716721716  11.591493603780343
20.84636483628593  11.573176137875208
21.15599855153618  11.55215013682348
21.468008714348375  11.528396754504797
21.782395715195754  11.501897290396874
22.09915993400226  11.47263318750816
22.41830174048876  11.440586030348474
22.739821494507808  11.405737542937345
23.063719546367484  11.368069586847701
23.389996237144523  11.327564159286217
23.718651898987332  11.284203391208093
24.049686855408897  11.237969545466079
24.383101421570377  11.18884501499307
24.718895904555183  11.13681232101758
25.057070603634344  11.081854111311461
25.397625810523053  11.023953158468226
25.740561809629114  10.963092358214336
26.085878878292988  10.899254727747952
26.433577287020384  10.832423404109285
26.78365729970718  10.76258164257997
27.136119173856983  10.689712815108601
27.4909631607918  10.613800408767284
27.84818950585583  10.53482802423331
28.20779844861279  10.45277937429762
28.569790223036723  10.367638282400385
28.934165057696745  10.279388681191882
29.300923175935907  10.188014611117936
29.670064796044326  10.093500219030373
30.041590131426588  9.995829756821871
30.415499390763987  9.894987580083654
30.791792778171523  9.790958146787062
31.170470493349775  9.683726015987343
31.55153273173206  9.573275846550068
31.93497968462682  9.459592395898497
32.320811539355546  9.34266051878338
32.709028479386134  9.22246516607269
33.09963068446219  9.098991383562472
33.49261833072819  8.972224310807304
33.887991590850476  8.842149179970791
34.28575063413479  8.708751314695144
34.68589562663955  8.572016128989553
35.088426731286106  8.431929126137707
35.493344107965044  8.288475897621938
35.900647913639396  8.141642122067605
36.310338302444464  7.991413564201885
37.031046714558826  7.6876853829229805
37.342068154888175  7.537899400668954
37.65391866039564  7.389180338861078
37.966593820146336  7.241529632357175
38.28008925631601  7.094948648356514
38.59440062403088  6.949438687536592
38.90952361120628  6.805000985174328
39.22545393838581  6.661636712252438
39.542187358579156  6.5193469765457674
39.85971965710076  6.378132823697122
40.178046651406966  6.237995238272679
40.4971641909341  6.098935144805091
40.81706815693586  5.960953408821303
41.137754462319954  5.8240508378529094
41.459219051485746  5.688228182435911
41.78145790016063  5.553486137091204
42.104467015237304  5.419825341295686
42.428242434609864  5.287246380434724
42.75278022701104  5.15574978674494
43.078076491848385  5.025336040239516
43.40412735904101  4.896005569622415
43.73092898885614  4.767758753188465
44.05847757174583  4.640595919710741
44.38676932818329  4.514517349313852
44.71580050850003  4.389523274335689
45.04556739272238  4.2656138801763355
45.37606629040882  4.14278930613451
45.7072935404863  4.02104964622986
46.03924551108814  3.9003949500171413
46.371918599391215  3.780825223384965
46.705309231453185  3.662340429343815
47.03941386205065  3.544940488803308
47.37422897451682  3.4286252813372595
47.70975108057976  3.3133946459366377
48.04597672020112  3.1992483817537787
48.38290246141426  3.0861862488330565
48.72052490016376  2.9742079688314935
49.05884066014428  2.8633132257306504
49.397846392640524  2.7535016665344374
49.7375387763666  2.644772901959146
50.07791451730695  2.537126507112991
50.41897034855612  2.4305620221639064
50.76070303016043  2.3250789529998173
51.1031093489587  2.2206767718761045
51.44618611842427  2.117354918056673
51.78993017850679  2.0151127984419706
52.13433839547518  1.9139497881910925
52.47940766175992  1.813865231331501
52.825134895796815  1.7148584413611543
53.171517041870615  1.6169287018415937
53.518551069959166  1.5200752669814093
53.8662339755781  1.4242973622108597
54.214562779626085  1.3295941847491533
54.56353452823043  1.2359649041609289
54.913146292592764  1.1434086629059712
55.263395168836375  1.0519245768805021
55.61427827785266  0.9615117359487102
55.96579276514897  0.8721692044676811
56.317935800696574  0.7838960218043934
56.670704578779734  0.6966912028428258
57.02409631784421  0.6105537384861839
57.378108260347574  0.5254825961488062
57.73273767260917  0.44147672024153906
58.08798184466083  0.35853503265037195
58.44383809009845  0.27665643320629485
58.80030374593406  0.19583980014883717
59.15737617244757  0.11608399058117998
59.515052753040884  0.037387840920587924
59.87333089409069  -0.040249832661165025
60.23220802480333  -0.11683023380217934
60.59168159706901  -0.1923545855220928
60.951749085317964  -0.26682412980091696
61.31240798637552  -0.3402401271644388
61.67365581931982  -0.412603856275462
62.035490125338086  -0.48391661353230353
62.39790846758498  -0.5541797126733059
62.76090843104118  -0.6233944843873991
63.124487622371916  -0.6915622759312043
63.488643669786924  -0.7586844507527034
63.85337422290121  -0.8247623881193661
64.21867695259535  -0.8897974827538847
64.58454955087743  -0.9537911444749054
64.9509897307451  -1.0167447978439614
65.3179952260484  -1.0786598818173114
65.68556379135342  -1.1395378494046675
66.05369320180665  -1.1993801673318822
66.42238125299885  -1.2581883157108422
66.79162576083174  -1.3159637877133876
67.16142456138283  -1.3727080892509662
67.53177551077292  -1.4284227386602797
67.90267648503324  -1.4831092663923113
68.2741253799737  -1.5367692147082228
68.64612011105065  -1.589404137380085
69.01865861323752  -1.6410155993950717
69.39173884089385  -1.6916051766657878
69.76535876763614  -1.7411744557462805
70.13951638620945  -1.7897250335501624
70.51420970835873  -1.8372585170760092
70.88943676470191  -1.883776523136036
71.26519560460311  -1.9292806780895606
71.64148429604619  -1.9737726175814154
72.0183009255098  -2.017253986283684
72.39564359784237  -2.0597264376432753
72.77351043613783  -2.101191633632592
73.15189958161237  -2.1416512445058338
73.53080919348173  -2.1811069485566605
73.91023744883903  -2.2195604318840267
74.29018254253252  -2.2570133881588528
74.67064268704628  -2.2934675183955453
75.05161611237868  -2.328924530728678
75.43310106592347  -2.3633861401920107
75.81509581235079  -2.396854068502005
76.19759863348918  -2.4293300438450247
